"Material","ShaderGuid","ShaderName","ShaderCategory","DummyExporter"
"Assets\Material\MAT_Fruit_Banana_0.mat","0e6407883450cbf4e9c3026859ec9489","Custom/URP/UnlitRimWithShadows","Custom handwritten shader","True"
"Assets\Material\MAT_CrossRoad.mat","1ceaf634ce84f704b8b5a0f99b23f1d2","Shader Graphs/SH_FakeUnlit_Color","Custom Shader Graph export","True"
"Assets\Material\Mat_Island_Path.mat","1ceaf634ce84f704b8b5a0f99b23f1d2","Shader Graphs/SH_FakeUnlit_Color","Custom Shader Graph export","True"
"Assets\Material\MAT_Apple.mat","84924ed7565e8624b96ca5e51cb6287f","Shader Graphs/SH_FakeUnlit_Texture","Custom Shader Graph export","True"
"Assets\Material\MAT_Blueberry.mat","84924ed7565e8624b96ca5e51cb6287f","Shader Graphs/SH_FakeUnlit_Texture","Custom Shader Graph export","True"
"Assets\Material\MAT_Box.mat","84924ed7565e8624b96ca5e51cb6287f","Shader Graphs/SH_FakeUnlit_Texture","Custom Shader Graph export","True"
"Assets\Material\MAT_Box_Sign.mat","84924ed7565e8624b96ca5e51cb6287f","Shader Graphs/SH_FakeUnlit_Texture","Custom Shader Graph export","True"
"Assets\Material\Mat_Bridge_Switch.mat","84924ed7565e8624b96ca5e51cb6287f","Shader Graphs/SH_FakeUnlit_Texture","Custom Shader Graph export","True"
"Assets\Material\Mat_Bridge_Wood.mat","84924ed7565e8624b96ca5e51cb6287f","Shader Graphs/SH_FakeUnlit_Texture","Custom Shader Graph export","True"
"Assets\Material\MAT_BridgePlanks.mat","84924ed7565e8624b96ca5e51cb6287f","Shader Graphs/SH_FakeUnlit_Texture","Custom Shader Graph export","True"
"Assets\Material\MAT_Carrot.mat","84924ed7565e8624b96ca5e51cb6287f","Shader Graphs/SH_FakeUnlit_Texture","Custom Shader Graph export","True"
"Assets\Material\MAT_Eggplant.mat","84924ed7565e8624b96ca5e51cb6287f","Shader Graphs/SH_FakeUnlit_Texture","Custom Shader Graph export","True"
"Assets\Material\MAT_Fruit_Pear.mat","84924ed7565e8624b96ca5e51cb6287f","Shader Graphs/SH_FakeUnlit_Texture","Custom Shader Graph export","True"
"Assets\Material\Mat_Rising_Block.mat","84924ed7565e8624b96ca5e51cb6287f","Shader Graphs/SH_FakeUnlit_Texture","Custom Shader Graph export","True"
"Assets\Material\MAT_Rocks.mat","84924ed7565e8624b96ca5e51cb6287f","Shader Graphs/SH_FakeUnlit_Texture","Custom Shader Graph export","True"
"Assets\Material\MAT_Strawberry.mat","84924ed7565e8624b96ca5e51cb6287f","Shader Graphs/SH_FakeUnlit_Texture","Custom Shader Graph export","True"
"Assets\Material\MAT_Switch.mat","84924ed7565e8624b96ca5e51cb6287f","Shader Graphs/SH_FakeUnlit_Texture","Custom Shader Graph export","True"
"Assets\Material\Mat_Tunnel_Blue.mat","84924ed7565e8624b96ca5e51cb6287f","Shader Graphs/SH_FakeUnlit_Texture","Custom Shader Graph export","True"
"Assets\Material\Mat_Tunnel_Green.mat","84924ed7565e8624b96ca5e51cb6287f","Shader Graphs/SH_FakeUnlit_Texture","Custom Shader Graph export","True"
"Assets\Material\Mat_Tunnel_Orange.mat","84924ed7565e8624b96ca5e51cb6287f","Shader Graphs/SH_FakeUnlit_Texture","Custom Shader Graph export","True"
"Assets\Material\Mat_Tunnel_Purple.mat","84924ed7565e8624b96ca5e51cb6287f","Shader Graphs/SH_FakeUnlit_Texture","Custom Shader Graph export","True"
"Assets\Material\Mat_Tunnel_Switch.mat","84924ed7565e8624b96ca5e51cb6287f","Shader Graphs/SH_FakeUnlit_Texture","Custom Shader Graph export","True"
"Assets\Material\MT_FX_Flash_Dissolve.mat","dafa18d152eb028498b88398979a82fc","Shader Graphs/SH_FX_Particle_Dissolve_Additive","Custom Shader Graph export","True"
"Assets\Material\MT_FX_Ring_Dissolve.mat","dafa18d152eb028498b88398979a82fc","Shader Graphs/SH_FX_Particle_Dissolve_Additive","Custom Shader Graph export","True"
"Assets\Material\MT_FX_Dust_2_Dissolve.mat","73c856de8858e2f4fbc0e859893a3bf7","Shader Graphs/SH_FX_Particle_Dissolve_Alpha","Custom Shader Graph export","True"
"Assets\Material\MT_FX_Dust_Dissolve.mat","73c856de8858e2f4fbc0e859893a3bf7","Shader Graphs/SH_FX_Particle_Dissolve_Alpha","Custom Shader Graph export","True"
"Assets\Material\MT_FX_Smoke_Dissolve.mat","73c856de8858e2f4fbc0e859893a3bf7","Shader Graphs/SH_FX_Particle_Dissolve_Alpha","Custom Shader Graph export","True"
"Assets\Material\MT_FX_Fake_Shadow_Sprite.mat","9cf57f5b5c17bca43bb20cb3c879ee09","Shader Graphs/SH_FX_Sprite_Multiply","Custom Shader Graph export","True"
"Assets\Material\MAT_Snake.mat","10e76ace7ddb58847956cef503574e39","Shader Graphs/SH_Snake","Custom Shader Graph export","True"
"Assets\Material\Mat_Island_Tile.mat","2c62bfcb30b61484a8e87d7d9562d252","Shader Graphs/SH_Tile_FakeUnlit","Custom Shader Graph export","True"
"Assets\Material\GladlyAcceptRegular-Wyjov SDF Material.mat","a2ba6b8c761d31d41b9af8ac69d31e90","TextMeshPro/Distance Field","TextMeshPro package shader","False"
"Assets\Material\LuckiestGuy-Regular Atlas Material.mat","a2ba6b8c761d31d41b9af8ac69d31e90","TextMeshPro/Distance Field","TextMeshPro package shader","False"
"Assets\Material\LuckiestGuy-Regular Brown Cartoon.mat","a2ba6b8c761d31d41b9af8ac69d31e90","TextMeshPro/Distance Field","TextMeshPro package shader","False"
"Assets\Material\LuckiestGuy-Regular Brown Inner Shadow Levels.mat","a2ba6b8c761d31d41b9af8ac69d31e90","TextMeshPro/Distance Field","TextMeshPro package shader","False"
"Assets\Material\LuckiestGuy-Regular Brown Level Number.mat","a2ba6b8c761d31d41b9af8ac69d31e90","TextMeshPro/Distance Field","TextMeshPro package shader","False"
"Assets\Material\LuckiestGuy-Regular Combo - Base.mat","a2ba6b8c761d31d41b9af8ac69d31e90","TextMeshPro/Distance Field","TextMeshPro package shader","False"
"Assets\Material\LuckiestGuy-Regular Combo - BG.mat","a2ba6b8c761d31d41b9af8ac69d31e90","TextMeshPro/Distance Field","TextMeshPro package shader","False"
"Assets\Material\LuckiestGuy-Regular GreenShadow.mat","a2ba6b8c761d31d41b9af8ac69d31e90","TextMeshPro/Distance Field","TextMeshPro package shader","False"
"Assets\Material\LuckiestGuy-Regular HomeScreen Levels.mat","a2ba6b8c761d31d41b9af8ac69d31e90","TextMeshPro/Distance Field","TextMeshPro package shader","False"
