"ShaderGuid","ShaderName","ShaderFile","ShaderCategory","DummyExporter","MaterialCount","Materials"
"dafa18d152eb028498b88398979a82fc","Shader Graphs/SH_FX_Particle_Dissolve_Additive","Assets\Shader\Shader Graphs_SH_FX_Particle_Dissolve_Additive.shader","Custom Shader Graph export","True","2","Assets\Material\MT_FX_Flash_Dissolve.mat; Assets\Material\MT_FX_Ring_Dissolve.mat"
"ff8462b6e621a8345844621c94b3984b","TextMeshPro/Sprite","Assets\Shader\TextMeshPro_Sprite.shader","TextMeshPro package shader","True","2","Assets\Material\TextMeshPro_Sprite.mat; Assets\Material\TextMeshPro_Sprite_0.mat"
"2f7155eab10066f408851ef296eba5ff","AssetKits/Additive","Assets\Shader\AssetKits_Additive.shader","Unknown/custom shader","True","1","Assets\Material\UIAdditive.mat"
"0e6407883450cbf4e9c3026859ec9489","Custom/URP/UnlitRimWithShadows","Assets\Shader\Custom_URP_UnlitRimWithShadows.shader","Custom handwritten shader","True","1","Assets\Material\MAT_Fruit_Banana_0.mat"
"cc77e64ea98b1094b9c2fbbce69fc9ed","JuicedUp/DarkOverlayMasked","Assets\Shader\JuicedUp_DarkOverlayMasked.shader","Third-party/custom JuicedUp","True","1","Assets\Material\MAT_DarkOverlayMasked.mat"
"916bf0c2fb6d9b04782025f3889591db","JuicedUp/DarkOverlayStencilWriter","Assets\Shader\JuicedUp_DarkOverlayStencilWriter.shader","Third-party/custom JuicedUp","True","1","Assets\Material\MAT_DarkOverlayStencilWriter.mat"
"9cf57f5b5c17bca43bb20cb3c879ee09","Shader Graphs/SH_FX_Sprite_Multiply","Assets\Shader\Shader Graphs_SH_FX_Sprite_Multiply.shader","Custom Shader Graph export","True","1","Assets\Material\MT_FX_Fake_Shadow_Sprite.mat"
"10e76ace7ddb58847956cef503574e39","Shader Graphs/SH_Snake","Assets\Shader\Shader Graphs_SH_Snake.shader","Custom Shader Graph export","True","1","Assets\Material\MAT_Snake.mat"
"2c62bfcb30b61484a8e87d7d9562d252","Shader Graphs/SH_Tile_FakeUnlit","Assets\Shader\Shader Graphs_SH_Tile_FakeUnlit.shader","Custom Shader Graph export","True","1","Assets\Material\Mat_Island_Tile.mat"
"d6d703ce50bdbbc45ad71f44812df2d1","Toony Colors Pro 2/Hybrid Shader 2","Assets\Shader\Toony Colors Pro 2_Hybrid Shader 2.shader","Third-party: Toony Colors Pro 2","True","1","Assets\Material\MAT_TailSegment_Plane.mat"
"8e6402661a2946b489d8a8b5e9d65745","UI/Hidden/UI-Effect-Shiny","Assets\Shader\UI_Hidden_UI-Effect-Shiny.shader","UI/third-party UI shader","True","1","Assets\Material\UI-Effect-Shiny.mat"
"e591da70890cbf747b6a1fcf8f46fdbd","Universal Render Pipeline/2D/Sprite-Unlit-Default","Assets\Shader\Universal Render Pipeline_2D_Sprite-Unlit-Default.shader","Unity URP package shader","True","1","Assets\Material\Sprite-Unlit-Default.mat"
